road_type,speed_limit,pedestrian_crossing_human_control,pedestrian_crossing_physical_facilities,light_conditions,weather_conditions,road_surface_conditions,carriageway_hazards,urban_or_rural_area,trunk_road_flag,accident_severity
2,30,0,4,4,1,1,0,1,2,1
3,20,0,1,4,8,2,0,1,2,1
2,20,0,4,1,1,2,0,1,2,1
6,30,0,5,5,1,2,0,1,2,1
3,30,0,0,4,2,2,2,2,2,1
6,30,0,5,4,1,1,0,1,2,1
6,30,0,0,1,4,1,0,2,2,1
6,30,0,1,4,2,2,0,1,2,1
1,30,0,0,1,1,1,0,2,1,1
3,50,0,7,1,1,1,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,4,1,1,1,0,1,2,1
6,30,0,1,4,1,1,0,1,2,1
3,40,0,5,1,1,1,0,1,2,1
3,20,0,4,4,1,1,0,1,2,1
3,40,0,4,4,2,2,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
3,30,0,0,4,1,1,0,1,2,1
3,40,0,0,1,1,1,0,1,2,1
6,20,0,0,1,1,1,0,1,2,1
3,40,0,0,1,1,1,0,1,2,1
6,30,0,5,4,1,1,0,1,2,1
3,40,0,4,1,1,1,0,1,2,1
2,20,0,0,4,1,1,0,1,2,1
6,20,0,1,4,1,2,0,1,2,1
6,20,0,0,1,1,1,0,1,2,1
6,20,0,5,1,1,1,0,1,2,1
3,30,0,0,1,1,1,0,1,2,1
6,20,2,4,1,1,1,0,1,2,1
6,20,0,0,1,1,1,0,1,2,1
6,40,0,0,4,1,1,0,2,2,1
6,30,0,0,4,1,1,0,1,2,1
6,20,0,0,1,1,1,0,1,2,1
3,50,0,0,1,1,1,0,1,2,1
6,20,0,5,1,1,1,0,1,2,1
6,20,0,4,4,1,1,0,1,2,1
6,30,0,0,1,1,1,0,1,2,1
6,30,0,4,1,1,1,0,1,2,1
3,20,0,1,1,1,1,0,1,2,1
6,30,0,0,4,1,1,0,1,2,1
6,30,2,4,4,1,1,0,1,2,1
6,20,0,0,4,1,1,0,1,2,1
6,30,0,0,4,9,1,0,1,2,1
6,20,0,5,1,1,1,0,1,2,1
6,30,0,0,4,1,1,0,1,2,1
3,70,0,0,7,1,1,0,1,2,1
